,floor,url,price,title,community,location,community_c,community_loc,duration
964,高层/5层,http://sh.lianjia.com/zufang/shz3400322.html,3500,上门实勘，一室小户型，采光无敌好，地铁沿线,塘桥二村,塘桥,塘桥二村,"121.522217,31.211615",1840.0
308,中层/5层,http://sh.lianjia.com/zufang/shz3456154.html,2600,降价出租，小户型，好房好心情，抢鲜笋盘,金龙花苑玫瑰园,龙华,金龙花苑玫瑰园,"121.471125,31.197914",1840.0
828,高层/3层,http://sh.lianjia.com/zufang/shz3444406.html,3600,高区景观好，一链倾城，新鲜挂牌，交通便利,金龙花苑玫瑰园,龙华,金龙花苑玫瑰园,"121.471125,31.197914",1840.0
697,高层/6层,http://sh.lianjia.com/zufang/shz3447312.html,4000,济阳二村，新鲜挂牌，上门实拍，高区景观房,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
564,高层/6层,http://sh.lianjia.com/zufang/shz3429460.html,4000,采光无敌好，享受好房，上门实拍，小户型,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
1228,高层/6层,http://sh.lianjia.com/zufang/shz3419864.html,3800,济阳二村，高清实拍，一链倾城，新鲜好房,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
1672,中层/6层,http://sh.lianjia.com/zufang/shz3443051.html,4000,济阳二村，新上房源，链家房源，1室1厅1卫,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
1349,低层/6层,http://sh.lianjia.com/zufang/shz3388282.html,3800,一室小户型，享受好房，低区出入方便，地铁沿线,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
1277,高层/6层,http://sh.lianjia.com/zufang/shz3449060.html,3800,济阳二村，新上房源，1室1厅，上门实拍,济阳二村,世博,济阳二村,"121.481567,31.171188",1842.0
50,中层/6层,http://sh.lianjia.com/zufang/shz3324029.html,3500,德州四村，热门带看，马上看房，吉宅出租,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1802,中层/6层,http://sh.lianjia.com/zufang/shz3447813.html,3800,德州四村，新出房源，小户型，放心好房,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1661,低层/6层,http://sh.lianjia.com/zufang/shz3399100.html,3000,德州四村，毗邻地铁，新鲜挂牌，低楼层,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1448,高层/6层,http://sh.lianjia.com/zufang/shz3339672.html,2800,德州四村，采光好，地铁房，链家好房,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1955,高层/6层,http://sh.lianjia.com/zufang/shz3280495.html,3500,德州四村，1室0厅1卫，错过不再有，地铁直达,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1868,低层/6层,http://sh.lianjia.com/zufang/shz3380593.html,3000,德州四村，低区出入方便，一链倾城，交通便利,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
775,高层/6层,http://sh.lianjia.com/zufang/shz3414936.html,3500,1室1厅，高区阳光房，好房好心情，上门实勘,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1427,低层/6层,http://sh.lianjia.com/zufang/shz3362656.html,3800,德州四村，紧邻地铁，1室0厅，上门实拍,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1567,中层/6层,http://sh.lianjia.com/zufang/shz3418199.html,3600,德州四村，1室1厅，紧邻地铁，放心好房,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1935,高层/6层,http://sh.lianjia.com/zufang/shz3280495.html,3500,德州四村，1室0厅1卫，错过不再有，地铁直达,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
201,中层/6层,http://sh.lianjia.com/zufang/shz3325331.html,3800,稀缺南北通，随时看房，高清实拍，吉宅出租,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
453,高层/6层,http://sh.lianjia.com/zufang/shz3407018.html,3300,温馨之家，钥匙房，出行方便，高区景观好,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1253,中层/6层,http://sh.lianjia.com/zufang/shz3438928.html,3800,如您所见，新出好房，生活很便利，上门实拍,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1420,低层/6层,http://sh.lianjia.com/zufang/shz3348491.html,4000,近地铁，享受好房，小户型，低楼层,德州四村,世博,德州四村,"121.486039,31.168431",1848.0
1219,高层/4层,http://sh.lianjia.com/zufang/shz3399952.html,3600,凌二小区，1室1厅，高区采光好，放心好房,凌二小区,洋泾,凌二小区,"121.542274,31.245816",1855.0
623,低层/6层,http://sh.lianjia.com/zufang/shz3370634.html,3500,吴东小区，上门实勘，低楼层，1室1厅,吴东小区,徐家汇,吴东小区,"121.421609,31.191026",1880.0
882,中层/6层,http://sh.lianjia.com/zufang/shz3323563.html,3800,潍坊十村，稀缺南北通，高清实拍，交通便利,潍坊十村,潍坊,潍坊十村,"121.525873,31.225779",1882.0
323,中层/6层,http://sh.lianjia.com/zufang/shz3299733.html,4000,地铁房，上门实勘，小户型，一链倾城,潍坊十村,潍坊,潍坊十村,"121.525873,31.225779",1882.0
1554,高层/6层,http://sh.lianjia.com/zufang/shz3315329.html,4000,潍坊十村，有爱有家，采光无敌好，出行方便,潍坊十村,潍坊,潍坊十村,"121.525873,31.225779",1882.0
1090,中层/6层,http://sh.lianjia.com/zufang/shz3323563.html,3800,潍坊十村，稀缺南北通，高清实拍，交通便利,潍坊十村,潍坊,潍坊十村,"121.525873,31.225779",1882.0
583,中层/5层,http://sh.lianjia.com/zufang/shz3406571.html,3500,肇嘉浜路193弄，如您所见，温馨之家，生活很便利,肇嘉浜路193弄,斜土路,肇嘉浜路193弄,"121.465429,31.202074",1891.0
1163,中层/6层,http://sh.lianjia.com/zufang/shz3387964.html,4000,潍坊六村，链家房源，温馨之家，地铁沿线,潍坊六村,潍坊,潍坊六村,"121.522425,31.222210",1894.0
589,高层/6层,http://sh.lianjia.com/zufang/shz3417386.html,3800,三江小区，紧邻地铁，采光无敌好，温馨一室,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
625,高层/6层,http://sh.lianjia.com/zufang/shz3298183.html,3600,三江小区，上门实勘，有爱有家，地铁直达,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
235,中层/6层,http://sh.lianjia.com/zufang/shz3398225.html,4000,三江小区，光线充足，有爱有家，一室小户型,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
980,低层/6层,http://sh.lianjia.com/zufang/shz3361024.html,4000,三江小区，近地铁，好房好心情，上下楼方便,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
271,高层/6层,http://sh.lianjia.com/zufang/shz3423525.html,3500,好房好心情，新鲜挂牌，小户型，上门实拍,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
954,低层/6层,http://sh.lianjia.com/zufang/shz3361024.html,4000,三江小区，近地铁，好房好心情，上下楼方便,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
63,高层/6层,http://sh.lianjia.com/zufang/shz3440806.html,3700,1室0厅1卫，有爱有家，近地铁，闹中取静,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
264,中层/6层,http://sh.lianjia.com/zufang/shz3398225.html,4000,三江小区，光线充足，有爱有家，一室小户型,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
39,中层/6层,http://sh.lianjia.com/zufang/shz2991161.html,3500,上门实勘，紧邻地铁，抢手火热，链家好房,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
354,中层/6层,http://sh.lianjia.com/zufang/shz3403284.html,4000,三江小区，上门实拍，真实在租，温馨之家,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
543,高层/6层,http://sh.lianjia.com/zufang/shz3394511.html,3600,三江小区，有钥匙立即看，温馨一室，链家好房,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
301,低层/6层,http://sh.lianjia.com/zufang/shz3446940.html,4000,抢鲜笋盘，低区出入方便，出行方便，上门实拍,三江小区,龙华,三江小区,"121.440003,31.164723",1897.0
